00:00:00.000	0.150	-0.035
00:00:00.002	0.160	-0.025
00:00:00.004	0.235	-0.020
00:00:00.006	0.175	-0.010
00:00:00.008	0.150	-0.005
00:00:00.010	0.180	-0.005
00:00:00.012	0.185	-0.005
00:00:00.014	0.195	-0.010
00:00:00.016	0.215	-0.015
00:00:00.018	0.165	-0.025
00:00:00.020	0.115	-0.035
00:00:00.022	0.155	-0.045
00:00:00.024	0.190	-0.050
00:00:00.026	0.085	-0.050
00:00:00.028	0.130	-0.050
00:00:00.030	0.140	-0.050
00:00:00.032	0.150	-0.040
00:00:00.034	0.115	-0.035
00:00:00.036	0.180	-0.030
00:00:00.038	0.170	-0.030
00:00:00.040	0.145	-0.030
00:00:00.042	0.145	-0.030
00:00:00.044	0.170	-0.030
00:00:00.046	0.150	-0.035
00:00:00.048	0.115	-0.035
00:00:00.050	0.175	-0.035
00:00:00.052	0.150	-0.035
00:00:00.054	0.170	-0.030
00:00:00.056	0.185	-0.025
00:00:00.058	0.165	-0.025
00:00:00.060	0.150	-0.025
00:00:00.062	0.110	-0.030
00:00:00.064	0.150	-0.035
00:00:00.066	0.145	-0.040
00:00:00.068	0.125	-0.045
00:00:00.070	0.080	-0.050
00:00:00.072	0.110	-0.050
00:00:00.074	0.210	-0.045
00:00:00.076	0.180	-0.040
00:00:00.078	0.145	-0.030
00:00:00.080	0.190	-0.025
00:00:00.082	0.150	-0.020
00:00:00.084	0.140	-0.015
00:00:00.086	0.195	-0.015
00:00:00.088	0.160	-0.020
00:00:00.090	0.140	-0.020
00:00:00.092	0.175	-0.025
00:00:00.094	0.165	-0.025
00:00:00.096	0.180	-0.020
00:00:00.098	0.140	-0.015
00:00:00.100	0.205	-0.010
00:00:00.102	0.235	0.000
00:00:00.104	0.245	0.005
00:00:00.106	0.195	0.010
00:00:00.108	0.170	0.010
00:00:00.110	0.140	0.000
00:00:00.112	0.080	-0.005
00:00:00.114	0.170	-0.015
00:00:00.116	0.185	-0.025
00:00:00.118	0.210	-0.035
00:00:00.120	0.165	-0.035
00:00:00.122	0.130	-0.035
00:00:00.124	0.170	-0.030
00:00:00.126	0.140	-0.020
00:00:00.128	0.195	-0.010
00:00:00.130	0.225	-0.005
00:00:00.132	0.160	0.000
00:00:00.134	0.190	0.000
00:00:00.136	0.190	-0.005
00:00:00.138	0.175	-0.010
00:00:00.140	0.140	-0.020
00:00:00.142	0.150	-0.030
00:00:00.144	0.130	-0.040
00:00:00.146	0.150	-0.050
00:00:00.148	0.175	-0.050
00:00:00.150	0.160	-0.050
00:00:00.152	0.125	-0.045
00:00:00.154	0.155	-0.035
00:00:00.156	0.180	-0.025
00:00:00.158	0.155	-0.015
00:00:00.160	0.190	-0.005
00:00:00.162	0.185	0.005
00:00:00.164	0.185	0.005
00:00:00.166	0.150	0.005
00:00:00.168	0.215	0.005
00:00:00.170	0.205	-0.005
00:00:00.172	0.155	-0.015
00:00:00.174	0.165	-0.030
00:00:00.176	0.150	-0.040
00:00:00.178	0.140	-0.050
00:00:00.180	0.090	-0.060
00:00:00.182	0.085	-0.060
00:00:00.184	0.150	-0.060
00:00:00.186	0.180	-0.050
00:00:00.188	0.165	-0.040
00:00:00.190	0.200	-0.025
00:00:00.192	0.175	-0.015
00:00:00.194	0.185	-0.005
00:00:00.196	0.205	0.000
00:00:00.198	0.205	0.000
00:00:00.200	0.180	-0.005
00:00:00.202	0.160	-0.015
00:00:00.204	0.170	-0.025
00:00:00.206	0.125	-0.040
00:00:00.208	0.175	-0.050
00:00:00.210	0.110	-0.060
00:00:00.212	0.140	-0.065
00:00:00.214	0.155	-0.065
00:00:00.216	0.130	-0.060
00:00:00.218	0.150	-0.055
00:00:00.220	0.165	-0.045
00:00:00.222	0.125	-0.040
00:00:00.224	0.185	-0.030
00:00:00.226	0.185	-0.025
00:00:00.228	0.155	-0.020
00:00:00.230	0.195	-0.015
00:00:00.232	0.155	-0.010
00:00:00.234	0.145	-0.005
00:00:00.236	0.200	0.000
00:00:00.238	0.225	0.005
00:00:00.240	0.215	0.010
00:00:00.242	0.205	0.015
00:00:00.244	0.215	0.020
00:00:00.246	0.225	0.020
00:00:00.248	0.235	0.025
00:00:00.250	0.235	0.025
00:00:00.252	0.215	0.030
00:00:00.254	0.225	0.035
00:00:00.256	0.200	0.040
00:00:00.258	0.225	0.045
