0.000 -0.275 0.045
0.002 -0.320 0.035
0.004 -0.315 0.025
0.006 -0.290 0.020
0.008 -0.300 0.010
0.010 -0.300 0.005
0.012 -0.280 0.005
0.014 -0.320 0.005
0.016 -0.335 0.005
0.018 -0.330 0.010
0.020 -0.310 0.010
0.022 -0.290 0.020
0.024 -0.285 0.025
0.026 -0.270 0.035
0.028 -0.280 0.040
0.030 -0.305 0.050
0.032 -0.265 0.055
0.034 -0.235 0.055
0.036 -0.260 0.060
0.038 -0.280 0.055
0.040 -0.300 0.050
0.042 -0.315 0.045
0.044 -0.315 0.035
0.046 -0.315 0.030
0.048 -0.325 0.025
0.050 -0.320 0.020
0.052 -0.310 0.015
0.054 -0.315 0.015
0.056 -0.325 0.015
0.058 -0.315 0.015
0.060 -0.270 0.015
0.062 -0.235 0.020
0.064 -0.285 0.020
0.066 -0.295 0.025
0.068 -0.275 0.030
0.070 -0.255 0.030
0.072 -0.315 0.030
0.074 -0.345 0.025
0.076 -0.320 0.020
0.078 -0.320 0.015
0.080 -0.335 0.005
0.082 -0.325 0.000
0.084 -0.300 -0.005
0.086 -0.330 -0.005
0.088 -0.325 0.000
0.090 -0.280 0.010
0.092 -0.245 0.015
0.094 -0.285 0.025
0.096 -0.340 0.025
0.098 -0.290 0.025
0.100 -0.280 0.015
0.102 -0.345 0.000
0.104 -0.375 -0.020
0.106 -0.385 -0.035
0.108 -0.385 -0.050
0.110 -0.380 -0.055
0.112 -0.370 -0.050
0.114 -0.295 -0.045
0.116 -0.280 -0.030
0.118 -0.305 -0.015
0.120 -0.315 0.000
0.122 -0.330 0.010
0.124 -0.340 0.015
0.126 -0.320 0.015
0.128 -0.330 0.010
0.130 -0.330 0.005
0.132 -0.335 -0.005
0.134 -0.335 -0.010
0.136 -0.345 -0.015
0.138 -0.365 -0.015
0.140 -0.315 -0.010
0.142 -0.330 -0.010
0.144 -0.320 -0.010
0.146 -0.315 -0.010
0.148 -0.320 -0.015
0.150 -0.325 -0.020
0.152 -0.380 -0.025
0.154 -0.370 -0.035
0.156 -0.375 -0.040
0.158 -0.340 -0.040
0.160 -0.325 -0.040
0.162 -0.310 -0.040
0.164 -0.315 -0.035
0.166 -0.355 -0.035
0.168 -0.415 -0.035
0.170 -0.390 -0.040
0.172 -0.385 -0.050
0.174 -0.370 -0.060
0.176 -0.350 -0.070
0.178 -0.390 -0.075
0.180 -0.400 -0.080
0.182 -0.390 -0.080
0.184 -0.385 -0.075
0.186 -0.340 -0.065
0.188 -0.350 -0.055
0.190 -0.350 -0.045
0.192 -0.330 -0.030
0.194 -0.315 -0.025
0.196 -0.330 -0.025
0.198 -0.340 -0.030
0.200 -0.340 -0.035
0.202 -0.325 -0.045
0.204 -0.385 -0.055
0.206 -0.420 -0.060
0.208 -0.380 -0.065
0.210 -0.385 -0.065
0.212 -0.375 -0.065
0.214 -0.400 -0.060
0.216 -0.360 -0.055
0.218 -0.330 -0.050
0.220 -0.320 -0.045
0.222 -0.360 -0.045
0.224 -0.360 -0.045
0.226 -0.395 -0.050
0.228 -0.385 -0.050
0.230 -0.370 -0.055
0.232 -0.370 -0.060
0.234 -0.370 -0.060
0.236 -0.360 -0.060
0.238 -0.370 -0.060
0.240 -0.360 -0.055
0.242 -0.350 -0.050
0.244 -0.350 -0.050
0.246 -0.355 -0.045
0.248 -0.345 -0.045
0.250 -0.365 -0.045
0.252 -0.335 -0.050
0.254 -0.365 -0.050
0.256 -0.410 -0.055
0.258 -0.405 -0.060
0.260 -0.395 -0.065
0.262 -0.365 -0.070
0.264 -0.340 -0.070
0.266 -0.305 -0.065
0.268 -0.350 -0.060
0.270 -0.370 -0.050
0.272 -0.340 -0.045
0.274 -0.345 -0.040
0.276 -0.360 -0.040
0.278 -0.355 -0.040
0.280 -0.335 -0.045
0.282 -0.375 -0.055
0.284 -0.380 -0.065
0.286 -0.415 -0.075
0.288 -0.395 -0.080
0.290 -0.380 -0.085
0.292 -0.355 -0.085
0.294 -0.340 -0.085
0.296 -0.370 -0.080
0.298 -0.370 -0.075
0.300 -0.385 -0.075
0.302 -0.400 -0.070
0.304 -0.390 -0.070
0.306 -0.400 -0.065
0.308 -0.385 -0.065
0.310 -0.380 -0.060
0.312 -0.330 -0.055
0.314 -0.340 -0.050
0.316 -0.330 -0.045
0.318 -0.340 -0.040
0.320 -0.360 -0.035
0.322 -0.360 -0.035
0.324 -0.345 -0.035
0.326 -0.330 -0.035
0.328 -0.320 -0.035
0.330 -0.335 -0.040
0.332 -0.360 -0.040
0.334 -0.350 -0.045
0.336 -0.380 -0.045
0.338 -0.400 -0.045
0.340 -0.350 -0.050
0.342 -0.365 -0.050
0.344 -0.320 -0.050
0.346 -0.330 -0.050
0.348 -0.365 -0.050
0.350 -0.350 -0.050
0.352 -0.355 -0.050
0.354 -0.390 -0.050
0.356 -0.405 -0.045
0.358 -0.350 -0.040
0.360 -0.355 -0.040
0.362 -0.360 -0.040
0.364 -0.305 -0.045
0.366 -0.320 -0.050
0.368 -0.370 -0.060
0.370 -0.360 -0.065
0.372 -0.365 -0.075
0.374 -0.380 -0.080
0.376 -0.385 -0.080
0.378 -0.375 -0.080
0.380 -0.405 -0.080
0.382 -0.365 -0.075
0.384 -0.330 -0.070
0.386 -0.355 -0.070
0.388 -0.350 -0.065
0.390 -0.340 -0.060
0.392 -0.340 -0.060
0.394 -0.355 -0.060
0.396 -0.350 -0.060
0.398 -0.390 -0.055
0.400 -0.360 -0.055
0.402 -0.330 -0.050
0.404 -0.345 -0.050
0.406 -0.365 -0.045
0.408 -0.340 -0.040
0.410 -0.295 -0.035
0.412 -0.280 -0.035
0.414 -0.310 -0.030
0.416 -0.320 -0.030
0.418 -0.355 -0.030
0.420 -0.330 -0.035
0.422 -0.355 -0.040
0.424 -0.350 -0.045
0.426 -0.355 -0.050
0.428 -0.360 -0.055
0.430 -0.385 -0.065
0.432 -0.345 -0.065
0.434 -0.355 -0.070
0.436 -0.350 -0.070
0.438 -0.345 -0.070
0.440 -0.340 -0.070
0.442 -0.300 -0.065
0.444 -0.355 -0.065
0.446 -0.365 -0.060
0.448 -0.355 -0.055
0.450 -0.335 -0.050
0.452 -0.370 -0.045
0.454 -0.300 -0.035
0.456 -0.310 -0.030
0.458 -0.320 -0.025
0.460 -0.320 -0.020
0.462 -0.310 -0.020
0.464 -0.305 -0.025
0.466 -0.320 -0.035
0.468 -0.325 -0.050
0.470 -0.365 -0.065
0.472 -0.430 -0.085
0.474 -0.375 -0.095
0.476 -0.355 -0.105
0.478 -0.415 -0.110
0.480 -0.405 -0.105
0.482 -0.360 -0.100
0.484 -0.325 -0.085
0.486 -0.335 -0.075
0.488 -0.350 -0.060
0.490 -0.325 -0.050
0.492 -0.340 -0.045
0.494 -0.340 -0.040
0.496 -0.330 -0.040
0.498 -0.335 -0.045
0.500 -0.335 -0.045
0.502 -0.300 -0.045
0.504 -0.340 -0.045
0.506 -0.350 -0.045
0.508 -0.370 -0.040
0.510 -0.310 -0.040
0.512 -0.285 -0.040
0.514 -0.330 -0.045
0.516 -0.350 -0.045
0.518 -0.350 -0.050
0.520 -0.360 -0.050
0.522 -0.350 -0.050
0.524 -0.315 -0.050
0.526 -0.310 -0.045
0.528 -0.300 -0.045
0.530 -0.310 -0.040
0.532 -0.310 -0.040
0.534 -0.300 -0.045
0.536 -0.320 -0.050
0.538 -0.365 -0.055
0.540 -0.360 -0.065
0.542 -0.355 -0.070
0.544 -0.365 -0.075
0.546 -0.340 -0.075
0.548 -0.340 -0.075
0.550 -0.340 -0.065
0.552 -0.310 -0.055
0.554 -0.315 -0.045
0.556 -0.290 -0.035
0.558 -0.265 -0.030
0.560 -0.305 -0.025
0.562 -0.330 -0.030
0.564 -0.395 -0.040
0.566 -0.355 -0.050
0.568 -0.335 -0.060
0.570 -0.340 -0.070
0.572 -0.350 -0.080
0.574 -0.345 -0.080
0.576 -0.330 -0.075
0.578 -0.305 -0.070
0.580 -0.275 -0.060
0.582 -0.320 -0.050
0.584 -0.335 -0.040
0.586 -0.290 -0.030
0.588 -0.310 -0.030
0.590 -0.345 -0.030
0.592 -0.330 -0.035
0.594 -0.320 -0.045
0.596 -0.330 -0.055
0.598 -0.340 -0.065
0.600 -0.320 -0.070
0.602 -0.335 -0.075
0.604 -0.355 -0.075
0.606 -0.340 -0.070
0.608 -0.355 -0.060
0.610 -0.345 -0.055
0.612 -0.275 -0.045
